                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92154,                0.71633,                  1.046,                0.79998,                 0.7741,                0.79957,                0.48963,                 1.2662,                0.91716,                 1.0399,              0.0016634,              0.0016634,              0.0016634
                     36,                0.90793,                0.69401,                 1.0337,                0.72027,                0.79032,                0.77465,                0.49322,                 1.3353,                 1.0368,                 1.0639,              0.0016535,              0.0016535,              0.0016535
                     37,                0.92744,                 0.7369,                 1.0612,                0.82933,                0.78379,                0.83062,                0.50057,                 1.2622,                0.90201,                  1.038,              0.0016436,              0.0016436,              0.0016436
                     38,                0.91311,                 0.6852,                 1.0474,                0.82029,                0.79032,                0.84619,                0.51544,                 1.2375,                0.94828,                 1.0519,              0.0016337,              0.0016337,              0.0016337
                     39,                0.88521,                0.70359,                 1.0687,                0.87665,                0.77419,                0.86499,                  0.565,                 1.1958,                0.82197,                 1.0893,              0.0016238,              0.0016238,              0.0016238
                     40,                0.90047,                0.68686,                 1.0435,                0.86103,                0.79951,                0.82769,                0.50091,                  1.362,                0.95141,                 1.1574,              0.0016139,              0.0016139,              0.0016139
                     41,                0.85906,                0.67111,                 1.0253,                0.76905,                0.83871,                0.84893,                0.54346,                 1.2142,                0.83724,                 1.0696,               0.001604,               0.001604,               0.001604
                     42,                0.85566,                0.65763,                 1.0204,                0.77094,                0.82258,                0.80323,                0.52433,                 1.2192,                0.91911,                  1.054,              0.0015941,              0.0015941,              0.0015941
                     43,                0.86995,                0.66735,                 1.0357,                0.85437,                0.83871,                0.86523,                0.55697,                 1.1953,                0.89465,                 1.0646,              0.0015842,              0.0015842,              0.0015842
                     44,                0.89791,                0.66474,                 1.0539,                0.83667,                0.82258,                0.81808,                0.52246,                 1.2567,                0.90729,                 1.0654,              0.0015743,              0.0015743,              0.0015743
                     45,                0.87835,                0.67043,                 1.0239,                 0.7968,                0.82223,                0.86728,                0.55295,                 1.1639,                0.79304,                  1.033,              0.0015644,              0.0015644,              0.0015644
                     46,                0.84445,                0.63809,                 1.0201,                0.73936,                0.83871,                0.80936,                0.48396,                 1.2461,                0.88209,                 1.0528,              0.0015545,              0.0015545,              0.0015545
                     47,                0.84677,                0.63785,                 1.0258,                0.68803,                 0.8893,                0.80299,                 0.5189,                 1.1751,                0.89987,                 1.0287,              0.0015446,              0.0015446,              0.0015446
                     48,                0.85779,                0.63336,                 1.0263,                0.78975,                0.78762,                0.83706,                0.56707,                 1.1556,                0.84439,                 1.0323,              0.0015347,              0.0015347,              0.0015347
                     49,                0.81583,                0.62194,                 1.0033,                0.76799,                0.80645,                0.80868,                 0.5254,                 1.2413,                0.84503,                 1.0547,              0.0015248,              0.0015248,              0.0015248
                     50,                0.85328,                0.64015,                 1.0401,                0.80524,                0.80027,                0.81893,                0.50579,                 1.3247,                0.85106,                 1.0997,              0.0015149,              0.0015149,              0.0015149
                     51,                0.86983,                0.64734,                 1.0451,                0.76292,                0.80645,                0.82542,                0.56512,                  1.206,                0.87959,                 1.0419,               0.001505,               0.001505,               0.001505
